,id,url,app-start,app-end,app-period
24,648,https://www.city.chiba.jp/hokenfukushi/hogo/jyukyokakuhokyuhukinn.html,,,
25,652,https://www.city.chiba.jp/hokenfukushi/koreishogai/shogaifukushi/jyuhoudaigaku.html,,,
26,657,https://www.city.chiba.jp/kodomomirai/kodomomirai/kateishien/learningvoucherproject.html,,令和6年2月29日(木曜日),
27,681,https://www.city.chiba.jp/kodomomirai/kodomomirai/unei/hoikuhozyosyakasituke.html,,,1年間（最大3年まで延長可）
28,682,https://www.city.chiba.jp/kodomomirai/kodomomirai/unei/syuugakusikinnkasituke.html,,,原則2年間
29,685,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/shien/nanbyoshinnseido.html,,,
30,687,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/shien/shingatacorona/2020satogaerininpucorona.html,,令和5年3月31日まで ※期限までに申請できない場合は、 申請期限内に 申請先までご連絡ください。,
31,690,https://www.city.chiba.jp/hokenfukushi/hogo/jiritsushiensaisikyu.html,,令和4年12月31日 ※申請期限が延長されました。,
32,693,https://www.city.chiba.jp/hokenfukushi/hogo/jiritsushienkyufu.html,,令和4年12月31日 ※申請期限が再度延長されました。,
33,697,https://www.city.chiba.jp/keizainosei/keizai/koyosuishin/toruck.html,,,提出書類
34,701,https://www.city.chiba.jp/zaiseikyoku/zeimu/kazeikanri/koteishisankaokugengaku.html,,,
35,740,https://www.city.chiba.jp/toshi/toshi/anzen/20200316youhekikaisyuusinsetu.html,,,
36,744,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/30gairainennkanngassann.html,,,
37,1586,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/suishin/shikakenshin.html,,,
38,1588,https://www.city.chiba.jp/kodomomirai/kodomomirai/kateishien/kotoshokugyo.html,,,
39,1598,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/neikinmenjyo.html,令和4年7月1日（学生納付特例は令和4年4月1日から受付しています。）,,
40,1605,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/ichibuhutankingenmen.html,,,
41,1610,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/seijin-rubella.html,,,
42,1627,https://www.city.chiba.jp/kankyo/junkan/shushugyomu/js_hojo.html,,,
43,1629,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/chiikifukushi/hisaisha-shien_shoukibo.html,,,基礎支援金は、 被災日から13か月を経過する日まで です。
44,1630,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/vaccination_earthquake.html,,,
45,1637,https://www.city.chiba.jp/kodomomirai/kodomomirai/shien/engel2.html,,,
46,1639,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/chiikifukushi/hisaisha-shien_gov.html,,,基礎支援金は、 被災日から13か月を経過する日まで です。
47,1641,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/masinhuusin_5ki.html,,,
48,1642,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/nenkin-sanzensango.html,,,
49,1653,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/elderly_pneumonia.html,,,
50,1655,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hokenjo/kansensho/elderly_influenza.html,,,
51,2530,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/chiikifukushi/hisaisha-shien_chiba-pref.html,,,基礎支援金は、 被災日から13か月を経過する日まで です。
52,286659,https://www.city.chiba.jp/shimin/shimin/kusei/shoumeishomenjo.html,,,
53,286661,https://www.city.chiba.jp/hokenfukushi/iryoeisei/seisaku/covid19_muryou_pcr.html,,,
54,286669,https://www.city.chiba.jp/kodomomirai/kodomomirai/kateishien/youikuhisoudan.html,,,
55,287940,https://www.city.chiba.jp/hokenfukushi/iryoeisei/hoken/koukikorona.html,,,
56,289194,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/chiikifukushi/saigaiengoshikin.html,,,
57,291603,https://www.city.chiba.jp/hokenfukushi/kenkofukushi/suishin/senior-aqua.html,,,
